OBJECT_NAME,NORAD_CAT_ID,COUNTRY,cluster,orbit_type,inclination,mean_motion,cluster_mean_motion,diff_from_cluster_mean,explanation
CZ-1 DEB,25882,PRC,0,LEO,1.1933566587463589,13.93814546,14.787722438177877,-0.8495769781778773,"CZ-1 DEB (NORAD 25882) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.193 deg, mean_motion=13.938 rev/day, cluster_mean_mean_motion=14.788, diff=-0.850"
CZ-5 DEB,25959,PRC,0,LEO,0.7414141209179392,15.773304220000002,14.787722438177877,0.9855817818221251,"CZ-5 DEB (NORAD 25959) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=0.741 deg, mean_motion=15.773 rev/day, cluster_mean_mean_motion=14.788, diff=0.986"
CZ-3A R/B,26059,PRC,0,LEO,0.42897575020142625,15.51939424,14.787722438177877,0.7316718018221238,"CZ-3A R/B (NORAD 26059) in Cluster 0 [LEO] : reason is might be tumbling or decaying (rocket body). inclination=0.429 deg, mean_motion=15.519 rev/day, cluster_mean_mean_motion=14.788, diff=0.732"
CZ-4 DEB,26119,PRC,0,LEO,1.7349672322252392,13.469704200000002,14.787722438177877,-1.3180182381778742,"CZ-4 DEB (NORAD 26119) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.735 deg, mean_motion=13.470 rev/day, cluster_mean_mean_motion=14.788, diff=-1.318"
CZ-4 DEB,26122,PRC,0,LEO,1.7263051631475912,13.42298118,14.787722438177877,-1.364741258177876,"CZ-4 DEB (NORAD 26122) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.726 deg, mean_motion=13.423 rev/day, cluster_mean_mean_motion=14.788, diff=-1.365"
CZ-4 DEB,26151,PRC,0,LEO,1.7351941250279985,13.18686031,14.787722438177877,-1.6008621281778765,"CZ-4 DEB (NORAD 26151) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.735 deg, mean_motion=13.187 rev/day, cluster_mean_mean_motion=14.788, diff=-1.601"
CZ-4 DEB,26152,PRC,0,LEO,1.7306248530462773,13.38115087,14.787722438177877,-1.4065715681778759,"CZ-4 DEB (NORAD 26152) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.731 deg, mean_motion=13.381 rev/day, cluster_mean_mean_motion=14.788, diff=-1.407"
CZ-4 DEB,26154,PRC,0,LEO,1.7370860619371602,13.39755865,14.787722438177877,-1.3901637881778761,"CZ-4 DEB (NORAD 26154) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.737 deg, mean_motion=13.398 rev/day, cluster_mean_mean_motion=14.788, diff=-1.390"
CZ-4 DEB,26205,PRC,0,LEO,1.7302670605496184,13.12450135,14.787722438177877,-1.6632210881778775,"CZ-4 DEB (NORAD 26205) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.730 deg, mean_motion=13.125 rev/day, cluster_mean_mean_motion=14.788, diff=-1.663"
CZ-4 DEB,26211,PRC,0,LEO,1.7271691011273287,13.331498950000002,14.787722438177877,-1.4562234881778746,"CZ-4 DEB (NORAD 26211) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.727 deg, mean_motion=13.331 rev/day, cluster_mean_mean_motion=14.788, diff=-1.456"
CZ-4 DEB,26436,PRC,0,LEO,1.7370982792419243,12.97813531,14.787722438177877,-1.809587128177876,"CZ-4 DEB (NORAD 26436) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.737 deg, mean_motion=12.978 rev/day, cluster_mean_mean_motion=14.788, diff=-1.810"
CZ-3 R/B,26600,PRC,0,LEO,0.4342239552621733,13.24716433,14.787722438177877,-1.5405581081778763,"CZ-3 R/B (NORAD 26600) in Cluster 0 [LEO] : reason is might be tumbling or decaying (rocket body). inclination=0.434 deg, mean_motion=13.247 rev/day, cluster_mean_mean_motion=14.788, diff=-1.541"
CZ-3A R/B,26644,PRC,0,LEO,0.42926372952800534,16.13913966,14.787722438177877,1.3514172218221248,"CZ-3A R/B (NORAD 26644) in Cluster 0 [LEO] : reason is might be tumbling or decaying (rocket body). inclination=0.429 deg, mean_motion=16.139 rev/day, cluster_mean_mean_motion=14.788, diff=1.351"
CZ-3A R/B,27814,PRC,0,LEO,0.43715261774701974,15.859720830000002,14.787722438177877,1.0719983918221256,"CZ-3A R/B (NORAD 27814) in Cluster 0 [LEO] : reason is might be tumbling or decaying (rocket body). inclination=0.437 deg, mean_motion=15.860 rev/day, cluster_mean_mean_motion=14.788, diff=1.072"
CZ-2F DEB,28047,PRC,0,LEO,0.737473167466936,15.761320149999998,14.787722438177877,0.9735977118221211,"CZ-2F DEB (NORAD 28047) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=0.737 deg, mean_motion=15.761 rev/day, cluster_mean_mean_motion=14.788, diff=0.974"
CZ-2F DEB,28048,PRC,0,LEO,0.7377995440370588,15.6997367,14.787722438177877,0.9120142618221241,"CZ-2F DEB (NORAD 28048) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=0.738 deg, mean_motion=15.700 rev/day, cluster_mean_mean_motion=14.788, diff=0.912"
CZ-3A R/B,28083,PRC,0,LEO,0.4294295358069448,15.584665440000002,14.787722438177877,0.7969430018221253,"CZ-3A R/B (NORAD 28083) in Cluster 0 [LEO] : reason is might be tumbling or decaying (rocket body). inclination=0.429 deg, mean_motion=15.585 rev/day, cluster_mean_mean_motion=14.788, diff=0.797"
