OBJECT_NAME,NORAD_CAT_ID,COUNTRY,LAUNCH_DATE,inclination,eccentricity,mean_motion,cluster,cluster_mean_motion,orbit_type
BEIDOU 3M12,43603,PRC,2018-08-24,0.9457764683632073,0.0004472,1.86227101,3,1.68749591765625,Unclassified
CZ-3B R/B,43604,PRC,2018-08-24,0.9563601449473008,0.1068708,14.066266400000002,0,14.787722438177877,LEO
YZ-1 R/B,43605,PRC,2018-08-24,0.939400780605672,0.0052087,1.78798229,3,1.68749591765625,Unclassified
HAIYANG 1C,43609,PRC,2018-09-07,1.7201424055587993,0.0009409,14.341281220000003,0,14.787722438177877,LEO
CZ-2C R/B,43610,PRC,2018-09-07,1.7232124397130573,0.0086843,14.56283852,0,14.787722438177877,LEO
BEIDOU 3M13,43622,PRC,2018-09-19,0.9835750639736485,0.0004697,1.8623122999999997,3,1.68749591765625,Unclassified
BEIDOU 3M14,43623,PRC,2018-09-19,0.9835977532539244,0.0004228,1.86231255,3,1.68749591765625,Unclassified
CZ-3B R/B,43624,PRC,2018-09-19,0.954482170672155,0.0510315,15.37816306,0,14.787722438177877,LEO
YZ-1 R/B,43625,PRC,2018-09-19,0.9799919030193041,0.0105235,1.7748163,3,1.68749591765625,Unclassified
CZ-4C DEB,43627,PRC,2013-11-20,1.7549460161728183,0.0137582,14.21862154,0,14.787722438177877,LEO
CZ-4C DEB,43628,PRC,2013-11-20,1.754434634701984,0.0150388,14.40363862,0,14.787722438177877,LEO
CZ-4C DEB,43629,PRC,2013-11-20,1.7625661236870256,0.011068,13.73379774,0,14.787722438177877,LEO
CZ-4C DEB,43631,PRC,2013-11-20,1.7556005146423161,0.019212,13.89317571,0,14.787722438177877,LEO
CENTISPACE-1 S1,43636,PRC,2018-09-29,1.7087942747623324,0.0008186,14.59518669,0,14.787722438177877,LEO
KZ-1A R/B,43637,PRC,2018-09-29,1.7143566390884382,0.0024705,16.36600626,0,14.787722438177877,LEO
YAOGAN-32 A,43642,PRC,2018-10-09,1.7093353268304505,0.0001595,14.626637529999998,0,14.787722438177877,LEO
YAOGAN-32 B,43643,PRC,2018-10-09,1.7093353268304505,0.0001498,14.62664319,0,14.787722438177877,LEO
YZ-1S DEB,43644,PRC,2018-10-09,1.7097472245339211,0.0005713,14.70375724,0,14.787722438177877,LEO
FENGYUN 2H DEB,43645,PRC,2018-06-05,0.07176444818350283,0.0038453,1.00222961,1,0.9983499662585034,GEO
FENGYUN 2G DEB,43646,PRC,2014-12-31,0.11834554058997951,0.0185823,1.00291407,1,0.9983499662585034,GEO
BEIDOU 3M15,43647,PRC,2018-10-15,0.9488325398834493,0.0005917,1.86232143,3,1.68749591765625,Unclassified
BEIDOU 3M16,43648,PRC,2018-10-15,0.9487731986888815,0.0002653,1.8623220699999998,3,1.68749591765625,Unclassified
